Escenari,Microservei,RPS_Mitjana,RPS_Max,P50_Mitjana_ms,P50_Max_ms,P95_Mitjana_ms,P95_Max_ms,P99_Mitjana_ms,P99_Max_ms,Errors_5xx_Max_RPS,CPU_Mitjana,CPU_Max,RAM_Mitjana,RAM_Max,Repliques_Mitjana,Repliques_Max,Cost_CPU_Min,Thrashing_Canvis_Abs
Escenari 1,adservice,1.54,1.62,4.3,6.0,9.0,13.4,22.5,43.5,0.0,20.9,30.6,136.5,138.7,1.0,1,0.5,0
Escenari 1,cartservice,2.57,2.75,3.0,3.1,5.7,22.9,9.2,91.0,0.0,17.0,24.7,99.8,103.5,1.0,1,0.2,0
Escenari 1,checkoutservice,0.13,0.19,1038.4,1354.2,2346.2,2385.4,2469.2,2477.1,0.0,7.9,10.3,57.7,58.0,1.0,1,0.2,0
Escenari 1,currencyservice,7.92,8.81,2.9,3.0,5.0,6.2,19.9,60.0,0.0,31.8,37.6,109.4,112.7,1.0,1,0.4,0
Escenari 1,emailservice,0.13,0.18,504.4,610.6,930.0,961.0,979.6,992.2,0.0,9.7,10.4,90.8,91.6,1.0,1,0.075,0
Escenari 1,frontend,2.69,2.85,40.3,44.4,299.7,694.2,1851.2,2156.7,0.0,57.1,63.0,65.9,68.1,1.0,1,1.25,0
Escenari 1,paymentservice,0.13,0.19,467.8,598.6,924.4,960.8,972.2,992.2,0.0,6.4,8.0,84.1,86.0,1.0,1,0.05,0
Escenari 1,productcatalogservice,12.47,13.47,0.7,0.9,4.4,4.4,4.9,4.9,0.0,27.4,30.3,65.0,65.9,1.0,1,0.5,0
Escenari 1,recommendationservice,1.92,2.07,3.1,3.1,5.1,5.8,236.9,382.5,0.0,33.4,87.2,80.8,81.4,1.0,1,0.3,0
Escenari 1,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,11.3,54.9,55.3,1.0,1,0.35,0
Escenari 1,shippingservice,0.79,0.96,1.3,1.7,4.5,4.6,4.9,4.9,0.0,7.5,8.3,57.6,58.2,1.0,1,0.5,0
Escenari 2,adservice,29.78,46.73,45.6,97.4,156.2,232.3,187.2,246.6,0.0,210.6,319.3,151.4,159.3,1.0,1,2.325,0
Escenari 2,cartservice,50.03,79.13,3.6,4.9,91.9,379.1,291.2,869.8,0.0,96.7,121.2,112.4,119.7,1.0,1,0.93,0
Escenari 2,checkoutservice,1.82,3.0,1553.4,1662.2,2405.7,2434.2,2503.8,3109.7,0.0,50.7,79.5,61.6,66.4,1.0,1,0.93,0
Escenari 2,currencyservice,161.37,255.93,11.9,34.6,175.1,383.4,405.4,725.4,0.0,257.5,307.4,121.1,126.3,1.0,1,1.86,0
Escenari 2,emailservice,1.81,2.98,576.1,623.5,957.1,962.4,991.6,999.3,0.0,17.5,22.9,91.7,92.8,1.0,1,0.349,0
Escenari 2,frontend,51.69,81.84,652.3,1524.2,1738.3,3468.4,2846.4,5884.0,0.0296,582.4,701.2,96.6,128.8,1.0,1,5.812,0
Escenari 2,paymentservice,1.83,3.05,565.7,608.3,956.2,960.8,991.2,992.2,0.0,12.4,16.0,88.0,95.0,1.0,1,0.232,0
Escenari 2,productcatalogservice,248.78,402.06,4.1,8.9,13.2,23.7,17.4,37.2,0.0,235.6,283.4,71.5,78.1,1.0,1,2.325,0
Escenari 2,recommendationservice,36.8,59.08,13.4,39.4,321.6,2881.4,592.1,5176.0,0.0,142.3,214.2,90.4,99.6,1.0,1,1.395,0
Escenari 2,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,21.3,55.1,56.7,1.0,1,1.628,0
Escenari 2,shippingservice,14.66,23.86,2.0,2.6,4.8,6.2,6.2,9.2,0.0,29.2,39.2,59.2,61.4,1.0,1,2.325,0
Escenari 3,adservice,31.58,40.56,80.2,94.3,216.8,233.0,232.5,246.7,0.0,219.3,284.0,158.9,161.4,1.0,1,0.575,0
Escenari 3,cartservice,83.23,111.09,5.8,13.1,156.4,660.1,476.2,940.3,0.0,103.6,140.2,124.1,128.0,1.0,1,0.23,0
Escenari 3,checkoutservice,5.55,7.9,1715.9,1822.9,3077.1,3671.3,3721.2,5231.5,0.0,103.6,148.8,67.7,71.6,1.0,1,0.23,0
Escenari 3,currencyservice,241.94,325.61,131.8,208.6,701.2,1052.2,1249.0,2052.2,0.0,245.1,316.2,127.3,130.6,1.0,1,0.46,0
Escenari 3,emailservice,5.54,7.84,607.4,719.1,1008.8,1441.2,1262.0,1889.5,0.0,30.7,41.1,93.8,94.6,1.0,1,0.086,0
Escenari 3,frontend,79.39,108.42,1994.8,3244.7,5884.1,13904.3,8477.9,16146.8,1.8486,710.3,909.2,163.1,186.5,0.96,1,1.375,0
Escenari 3,paymentservice,5.66,7.86,564.1,605.7,956.1,960.6,991.2,992.1,0.0,21.2,27.8,95.7,97.0,1.0,1,0.057,0
Escenari 3,productcatalogservice,375.88,515.38,9.3,12.3,25.8,32.2,45.4,60.3,0.0,219.7,292.1,83.2,90.5,1.0,1,0.575,0
Escenari 3,recommendationservice,52.71,71.12,78.5,325.3,831.3,3848.2,1241.5,4769.6,0.0,158.6,208.8,103.4,107.2,1.0,1,0.345,0
Escenari 3,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,19.2,55.6,56.2,1.0,1,0.402,0
Escenari 3,shippingservice,33.52,46.17,2.8,3.8,8.1,9.3,14.1,25.7,0.0,42.0,58.3,61.1,62.2,1.0,1,0.575,0
Escenari 4,adservice,28.18,65.01,77.2,111.7,197.0,235.4,209.3,247.1,0.0,145.9,330.9,161.9,166.0,1.0,1,0.3,0
Escenari 4,cartservice,40.23,92.91,4.7,7.6,172.9,479.4,383.5,890.4,0.0,49.7,109.3,127.5,129.2,1.0,1,0.12,0
Escenari 4,checkoutservice,1.01,2.65,1428.8,1737.3,2477.6,2973.0,2923.8,4352.1,0.0,22.3,60.3,65.3,66.4,1.0,1,0.12,0
Escenari 4,currencyservice,119.07,248.68,73.2,211.1,667.6,1268.0,1189.7,2248.5,0.0,137.2,268.9,130.5,135.3,1.0,1,0.24,0
Escenari 4,emailservice,0.99,2.62,537.2,604.1,951.5,961.8,990.7,993.9,0.0,13.4,21.3,93.8,94.1,1.0,1,0.045,0
Escenari 4,frontend,50.56,98.25,1092.3,2569.8,5005.7,11599.1,6763.0,14324.8,42.9705,412.1,795.4,157.9,193.3,0.87,1,0.646,2
Escenari 4,paymentservice,1.0,2.52,498.6,642.9,886.7,964.3,926.2,992.9,0.0,8.3,14.4,96.5,96.9,1.0,1,0.03,0
Escenari 4,productcatalogservice,190.24,489.69,5.5,10.7,19.4,26.5,39.9,81.5,0.0,113.3,239.2,87.5,100.7,1.0,1,0.3,0
Escenari 4,recommendationservice,30.67,78.94,64.3,207.9,415.3,1056.8,717.3,1694.8,0.0,93.6,210.7,105.1,107.2,1.0,1,0.18,0
Escenari 4,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,18.2,55.7,56.3,1.0,1,0.21,0
Escenari 4,shippingservice,7.87,20.87,1.9,2.5,5.0,5.8,8.4,28.5,0.0,14.9,30.4,61.6,62.0,1.0,1,0.3,0
Escenari 5,adservice,18.27,33.67,22.9,84.0,156.1,225.6,197.6,245.1,0.0,134.6,296.1,158.9,160.9,1.0,1,0.2,0
Escenari 5,cartservice,28.99,54.4,3.1,3.5,12.7,62.4,134.2,635.2,0.0,67.4,104.5,129.4,130.0,1.0,1,0.08,0
Escenari 5,checkoutservice,1.07,1.9,1438.1,1587.7,2393.8,2408.8,2478.8,2481.8,0.0,29.2,46.2,64.7,65.7,1.0,1,0.08,0
Escenari 5,currencyservice,105.12,183.16,5.2,10.5,97.3,254.2,336.3,614.5,0.0,191.2,285.2,135.4,136.1,1.0,1,0.16,0
Escenari 5,emailservice,1.0,1.89,548.3,580.5,952.5,958.0,990.5,991.6,0.0,14.4,18.8,94.0,94.3,1.0,1,0.03,0
Escenari 5,frontend,30.36,55.87,272.7,670.8,1298.2,2135.9,2200.5,2435.7,0.037,408.9,636.3,153.6,163.2,1.0,1,0.5,0
Escenari 5,paymentservice,1.01,1.9,554.0,598.6,953.4,959.9,990.7,992.0,0.0,9.3,12.6,96.7,96.8,1.0,1,0.02,0
Escenari 5,productcatalogservice,118.13,232.9,2.1,3.9,7.6,14.6,12.9,22.7,0.0,160.0,239.8,86.2,91.6,1.0,1,0.2,0
Escenari 5,recommendationservice,19.59,36.84,4.4,7.3,35.7,109.2,131.9,264.8,0.0,80.0,153.2,104.9,105.7,1.0,1,0.12,0
Escenari 5,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,18.9,55.7,56.0,1.0,1,0.14,0
Escenari 5,shippingservice,7.45,14.8,1.7,2.3,4.7,4.8,5.1,5.8,0.0,20.4,32.4,62.1,62.3,1.0,1,0.2,0
