Escenari,Microservei,RPS_Mitjana,RPS_Max,P50_Mitjana_ms,P50_Max_ms,P95_Mitjana_ms,P95_Max_ms,P99_Mitjana_ms,P99_Max_ms,Errors_5xx_Max_RPS,CPU_Mitjana,CPU_Max,RAM_Mitjana,RAM_Max,Repliques_Mitjana,Repliques_Max,Cost_CPU_Min,Thrashing_Canvis_Abs
Escenari 1,adservice,1.5,1.64,3.1,3.9,5.8,9.5,11.7,20.8,0.0,17.4,25.4,123.7,125.9,1.0,1,0.5,0
Escenari 1,cartservice,2.53,2.95,2.9,3.0,4.8,5.2,7.2,51.0,0.0,17.6,46.1,92.1,107.2,1.0,1,0.2,0
Escenari 1,checkoutservice,0.13,0.19,933.4,1312.5,2286.4,2381.2,2419.2,2476.2,0.0,7.6,8.8,52.5,53.0,1.0,1,0.2,0
Escenari 1,currencyservice,7.71,8.76,2.4,2.8,4.8,4.8,5.9,13.6,0.0,21.9,24.7,74.2,77.8,1.0,1,0.4,0
Escenari 1,emailservice,0.13,0.19,501.3,594.4,914.0,957.9,957.4,991.6,0.0,10.5,12.4,83.1,83.7,1.0,1,0.075,0
Escenari 1,frontend,2.64,3.04,33.6,34.8,211.0,503.5,1728.7,2110.8,0.0,42.3,45.9,56.2,57.6,1.0,1,1.25,0
Escenari 1,paymentservice,0.13,0.19,409.3,553.6,880.2,955.4,931.6,991.1,0.0,6.5,8.6,66.0,66.8,1.0,1,0.05,0
Escenari 1,productcatalogservice,12.34,14.01,0.3,0.3,3.1,3.3,4.6,4.7,0.0,21.8,25.5,58.5,59.3,1.0,1,0.5,0
Escenari 1,recommendationservice,1.9,2.1,3.0,3.1,4.9,5.0,229.6,343.2,0.0,28.3,71.2,82.0,83.4,1.0,1,0.3,0
Escenari 1,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,9.8,46.0,48.2,1.0,1,0.35,0
Escenari 1,shippingservice,0.78,1.04,0.3,0.3,3.3,3.8,4.7,4.8,0.0,7.5,8.6,53.0,53.7,1.0,1,0.5,0
Escenari 2,adservice,34.57,59.29,3.1,3.8,14.4,60.2,42.5,158.2,0.0,203.3,667.7,271.7,642.2,1.93,4,4.5,10
Escenari 2,cartservice,57.57,100.65,2.9,3.3,6.1,19.2,35.2,227.8,0.0,333.4,1197.7,549.9,1606.5,5.85,18,5.493,57
Escenari 2,checkoutservice,2.2,3.96,1440.7,1634.7,2396.5,2429.3,2530.4,3104.5,0.0,65.9,160.8,108.3,227.7,1.99,4,1.857,10
Escenari 2,currencyservice,188.54,322.14,2.7,3.0,5.1,7.1,8.0,35.7,0.0,577.9,1344.0,628.6,1362.2,7.94,17,14.907,23
Escenari 2,emailservice,2.21,3.97,572.7,617.4,955.4,961.7,989.7,992.3,0.0,23.3,85.1,114.4,195.8,1.36,2,0.476,2
Escenari 2,frontend,61.23,103.99,51.7,124.2,255.0,655.2,2005.8,2185.7,0.1259,1199.6,2725.8,351.6,790.1,5.72,12,33.521,16
Escenari 2,paymentservice,2.2,4.08,559.8,627.6,955.8,962.8,991.2,992.6,0.0,17.1,60.3,85.1,187.0,1.23,2,0.286,5
Escenari 2,productcatalogservice,295.11,501.56,1.0,3.7,29.3,85.5,45.1,97.2,0.0,410.5,742.5,63.5,68.8,1.0,1,2.325,0
Escenari 2,recommendationservice,43.33,73.97,3.2,3.9,6.1,9.6,23.4,306.6,0.0,210.6,546.9,307.4,644.9,3.69,7,5.19,14
Escenari 2,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,56.2,46.8,49.5,1.0,1,1.628,0
