Escenari,Microservei,RPS_Mitjana,RPS_Max,P50_Mitjana_ms,P50_Max_ms,P95_Mitjana_ms,P95_Max_ms,P99_Mitjana_ms,P99_Max_ms,Errors_5xx_Max_RPS,CPU_Mitjana,CPU_Max,RAM_Mitjana,RAM_Max,Repliques_Mitjana,Repliques_Max,Cost_CPU_Min,Thrashing_Canvis_Abs
Escenari 1,adservice,1.52,1.59,3.2,4.4,5.8,9.6,8.6,15.1,0.0,18.4,51.3,125.2,147.3,1.0,1,0.5,0
Escenari 1,cartservice,2.53,2.75,2.9,2.9,5.4,10.2,42.3,385.2,0.0,19.9,84.9,92.5,125.4,1.02,1,0.203,0
Escenari 1,checkoutservice,0.13,0.19,1076.5,1476.2,2266.5,2397.6,2411.2,2479.5,0.0,7.1,8.7,53.2,53.6,1.0,1,0.2,0
Escenari 1,currencyservice,7.9,8.59,2.7,2.8,4.8,4.8,8.8,23.6,0.0,23.2,26.9,73.3,77.0,1.0,1,0.4,0
Escenari 1,emailservice,0.13,0.21,498.9,715.3,911.7,971.5,963.0,994.3,0.0,9.3,11.6,83.4,84.2,1.0,1,0.075,0
Escenari 1,frontend,2.62,2.81,33.9,36.1,302.6,793.0,1847.7,2182.2,0.0,45.1,61.4,65.0,90.7,1.1,1,1.354,1
Escenari 1,paymentservice,0.13,0.17,465.7,583.3,905.3,958.3,955.7,991.7,0.0,6.3,7.9,66.4,67.7,1.0,1,0.05,0
Escenari 1,productcatalogservice,12.46,13.08,0.3,0.3,3.0,3.4,4.6,4.7,0.0,22.0,24.3,60.6,61.5,1.0,1,0.5,0
Escenari 1,recommendationservice,2.28,2.44,3.6,4.0,284.6,425.6,663.1,822.3,0.0,277.7,489.8,1114.0,1136.8,13.68,14,4.105,0
Escenari 1,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,9.2,48.5,50.5,1.0,1,0.35,0
Escenari 1,shippingservice,0.78,0.96,0.3,0.3,3.2,4.1,5.3,9.7,0.0,6.8,8.4,52.6,53.1,1.0,1,0.5,0
Escenari 2,adservice,33.77,59.49,8.8,75.7,60.1,224.9,101.5,245.1,0.0,281.8,1147.1,363.7,1413.6,1.9,10,4.442,58
Escenari 2,cartservice,57.83,101.15,2.8,2.9,50.7,226.9,250.9,806.8,0.0,177.3,568.8,151.2,524.2,1.32,4,1.233,30
Escenari 2,checkoutservice,2.24,3.83,1411.9,1539.8,2390.0,2405.8,2492.8,2938.1,0.0,45.3,83.6,55.3,59.1,1.0,1,0.93,0
Escenari 2,currencyservice,183.46,347.71,2.4,2.7,11.3,38.0,38.9,88.1,0.0,310.6,668.8,122.3,330.5,1.48,4,2.767,24
Escenari 2,emailservice,2.23,3.86,571.8,618.2,956.8,961.8,991.4,992.4,0.0,14.6,21.3,85.0,86.1,1.0,1,0.349,0
Escenari 2,frontend,61.58,106.09,46.0,100.4,389.7,938.0,2011.6,2159.4,0.2984,677.7,1200.7,73.3,102.3,1.03,1,5.979,2
Escenari 2,paymentservice,2.25,3.9,577.7,634.9,957.6,963.5,991.5,992.7,0.0,11.0,15.7,71.8,79.6,1.0,1,0.232,0
Escenari 2,productcatalogservice,296.01,512.68,0.3,0.4,4.1,5.7,5.7,17.6,0.0,302.7,492.2,64.9,69.4,1.0,1,2.325,0
Escenari 2,recommendationservice,41.6,73.11,3.1,3.6,30.9,286.9,121.5,693.7,0.0,201.1,904.0,248.9,1617.0,2.8,20,3.7,82
Escenari 2,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,31.3,48.2,50.5,1.0,1,1.628,0
Escenari 2,shippingservice,17.49,29.81,0.3,0.3,3.2,4.3,4.6,4.9,0.0,28.7,46.8,54.2,55.8,1.0,1,2.325,0
Escenari 3,adservice,55.57,69.35,18.1,58.0,119.6,221.9,178.3,244.5,0.0,608.3,1241.3,634.6,1319.0,3.17,8,1.875,29
Escenari 3,cartservice,151.07,184.11,3.0,3.2,35.0,152.8,442.8,755.6,0.0,319.0,577.9,123.2,326.7,1.06,2,0.243,2
Escenari 3,checkoutservice,10.52,13.36,1570.5,1682.7,2408.8,2425.8,2488.2,2558.1,0.0,217.6,294.5,60.6,62.5,1.0,1,0.23,0
Escenari 3,currencyservice,394.64,523.04,3.7,10.1,68.0,130.4,156.1,286.2,0.0,1027.9,1814.4,449.6,1002.3,4.54,12,2.16,65
Escenari 3,emailservice,10.53,12.92,624.7,660.4,1044.2,1396.1,1411.5,2056.9,0.0,54.6,107.5,98.9,139.5,1.11,1,0.096,2
Escenari 3,frontend,148.64,181.68,159.5,257.4,1596.4,1949.3,2323.9,2445.5,0.1778,1597.2,2122.2,162.8,189.1,1.99,2,2.917,3
Escenari 3,paymentservice,10.79,13.27,563.1,585.7,955.7,958.6,991.1,991.7,0.0,36.1,46.9,79.7,80.5,1.0,1,0.057,0
Escenari 3,productcatalogservice,722.81,882.0,2.5,3.5,34.0,50.3,60.5,80.4,0.0,609.6,747.2,71.5,79.2,1.0,1,0.575,0
Escenari 3,recommendationservice,87.22,117.32,34.4,185.0,630.6,1339.6,1021.5,2183.1,0.0,682.8,1218.4,718.1,1560.7,8.24,16,2.9,88
Escenari 3,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,57.6,49.5,50.0,1.0,1,0.402,0
Escenari 3,shippingservice,63.45,77.37,0.8,1.5,4.5,4.8,6.0,7.8,0.0,91.0,117.8,56.3,57.1,1.0,1,0.575,0
