Escenari,Microservei,RPS_Mitjana,RPS_Max,P50_Mitjana_ms,P50_Max_ms,P95_Mitjana_ms,P95_Max_ms,P99_Mitjana_ms,P99_Max_ms,Errors_5xx_Max_RPS,CPU_Mitjana,CPU_Max,RAM_Mitjana,RAM_Max,Repliques_Mitjana,Repliques_Max,Cost_CPU_Min,Thrashing_Canvis_Abs
Escenari 1,adservice,1.56,1.64,3.1,3.9,5.7,9.5,11.7,35.1,0.0,17.3,24.2,127.0,129.2,1.0,1,0.5,0
Escenari 1,cartservice,2.59,2.78,2.9,3.1,4.9,7.4,8.7,82.9,0.0,15.0,26.9,90.6,95.7,1.0,1,0.2,0
Escenari 1,checkoutservice,0.12,0.16,848.4,1291.7,2156.2,2379.2,2279.0,2475.8,0.0,7.2,8.8,52.5,53.0,1.0,1,0.2,0
Escenari 1,currencyservice,8.0,8.56,2.6,2.8,4.8,4.8,5.2,7.8,0.0,22.6,25.8,74.4,78.5,1.0,1,0.4,0
Escenari 1,emailservice,0.13,0.17,482.8,578.4,888.4,957.1,933.2,991.4,0.0,9.6,10.6,83.8,84.8,1.0,1,0.075,0
Escenari 1,frontend,2.71,2.85,34.0,34.4,168.1,415.1,1655.7,2000.0,0.0,43.3,47.6,57.9,60.7,1.0,1,1.25,0
Escenari 1,paymentservice,0.12,0.16,373.9,527.8,848.6,950.0,893.9,990.0,0.0,6.3,8.6,67.5,68.6,1.0,1,0.05,0
Escenari 1,productcatalogservice,12.72,13.9,0.3,0.3,3.1,3.4,4.6,4.7,0.0,21.9,24.3,59.0,59.7,1.0,1,0.5,0
Escenari 1,recommendationservice,1.93,2.08,3.0,3.1,9.2,53.3,237.0,459.8,0.0,55.9,118.4,81.8,82.7,1.0,1,0.3,0
Escenari 1,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.9,47.4,49.7,1.0,1,0.35,0
Escenari 1,shippingservice,0.77,0.84,0.3,0.3,3.1,3.6,4.6,4.7,0.0,7.2,7.9,52.7,53.6,1.0,1,0.5,0
Escenari 2,adservice,35.06,58.63,3.1,3.6,6.6,13.2,21.0,76.3,0.0,197.1,451.4,490.1,804.4,3.64,6,8.525,5
Escenari 2,cartservice,58.71,99.54,2.9,3.3,5.8,17.6,18.3,175.0,0.0,251.5,616.8,556.4,985.6,5.8,10,5.44,10
Escenari 2,checkoutservice,2.19,3.9,1467.3,1659.1,2395.7,2422.3,2479.4,2490.1,0.0,71.8,169.7,132.2,236.9,2.4,4,2.247,9
Escenari 2,currencyservice,189.84,324.39,2.8,3.0,5.1,6.8,8.2,27.7,0.0,568.9,1190.2,506.9,847.1,6.23,10,11.7,9
